Satellite,époque,X,Y,Z
G16,2021-12-14 22:30:00,13253279.496613834,-8038782.660015184,21370224.381623875
G16,2021-12-14 22:46:40,15375422.774313156,-6379469.220987823,20546978.34181611
G16,2021-12-14 23:03:20,17482838.20798128,-4922108.067849451,19283648.833590884
G16,2021-12-14 23:20:00,19511522.959396012,-3683365.3379118675,17607055.610267196
G16,2021-12-14 23:36:40,21397210.566427227,-2667074.94967911,15552795.944274593
G21,2021-12-14 00:00:00,16999583.978347573,-19959304.290130343,1560722.0697070474
G21,2021-12-14 00:16:40,17065531.992995717,-19518873.371658944,4705049.643052092
G21,2021-12-14 00:33:20,16948922.537375603,-18753556.39139997,7759154.532188533
G21,2021-12-14 00:50:00,16700554.597756825,-17652778.42401137,10658162.584418563
G21,2021-12-14 01:06:40,16373913.808057647,-16218990.57420186,13340498.850149203
G21,2021-12-14 01:23:20,16022399.803967576,-14467817.5595996,15749195.977707949
G21,2021-12-14 01:40:00,15696578.315343484,-12427591.41996399,17833103.65395831
G21,2021-12-14 01:56:40,15441590.20738752,-10138292.467104828,19547973.534437865
G21,2021-12-14 02:13:20,15294841.943218675,-7649946.731428413,20857396.91798931
G21,2021-12-14 02:30:00,15284088.284233272,-5020554.893720289,21733575.650897574
G21,2021-12-14 02:46:40,15425999.149987048,-2313649.8179479665,22157910.314233508
G21,2021-12-14 03:03:20,15725279.340721011,404402.6961696381,22121393.582036626
G21,2021-12-14 03:20:00,16174383.387461213,3067233.243730472,21624800.669383787
G21,2021-12-14 03:36:40,16753839.381006068,5611295.428127079,20678672.953785714
G21,2021-12-14 03:53:20,17433166.571810007,7978557.107970933,19303095.086825855
G21,2021-12-14 04:10:00,18172343.185906596,10118930.02726658,17527270.14994887
G21,2021-12-14 04:26:40,18923754.595401958,11992323.935891327,15388901.58014335
G21,2021-12-14 04:43:20,19634528.954781212,13570229.057367133,12933394.625529164
G21,2021-12-14 05:00:00,20249148.760656722,14836753.08576817,10212893.911515575
G21,2021-12-14 05:16:40,20712213.41101903,15789064.756847205,7285177.226343769
G21,2021-12-14 05:33:20,20971220.388770115,16437224.229158847,4212428.789980489
G21,2021-12-14 05:50:00,20979231.556582697,16803409.697312366,1059917.972281904
G21,2021-12-14 06:06:40,20697296.310704406,16920578.44972695,-2105388.4022702575
G21,2021-12-14 06:23:20,20096514.776139583,16830627.59150856,-5216250.456233332
G21,2021-12-14 06:40:00,19159641.306113973,16582143.567474201,-8206585.752563358
G21,2021-12-14 06:56:40,17882150.461895075,16227849.270274509,-11012875.0637295
G21,2021-12-14 07:13:20,16272713.333957847,15821871.937029693,-13575513.128572745
G21,2021-12-14 07:30:00,14353060.265376884,15416963.515149178,-15840075.361807236
G21,2021-12-14 07:46:40,12157235.366475366,15061807.301957075,-17758473.42435889
G21,2021-12-14 08:03:20,9730277.225427302,14798540.342223857,-19289975.131014794
G21,2021-12-14 08:20:00,7126387.508249736,14660610.53593371,-20402067.272632226
G21,2021-12-14 08:36:40,4406673.39312,14671071.20599465,-21071143.45216467
G21,2021-12-14 08:53:20,1636569.8601624805,14841394.813670123,-21283002.858839888
G21,2021-12-14 09:10:00,-1116937.1545142694,15170862.620406438,-21033149.921302836
G21,2021-12-14 09:26:40,-3788156.487645957,15646559.572293403,-20326888.89491362
G21,2021-12-14 09:43:20,-6315472.988520877,16243974.822419908,-19179211.582004778
G21,2021-12-14 10:00:00,-8643934.01102987,16928179.44500628,-17614480.51227673
G21,2021-12-14 10:16:40,-10727520.087421924,17655525.3625749,-15665913.995050438
G21,2021-12-14 10:33:20,-12530993.563639943,18375784.575846184,-13374883.469304157
G21,2021-12-14 10:50:00,-14031238.83622357,19034626.62438222,-10790037.481843546
G21,2021-12-14 11:06:40,-15218031.821122063,19576315.83162859,-7966270.354809733
G21,2021-12-14 11:23:20,-16094203.321186945,19946499.11650148,-4963557.069241681
G21,2021-12-14 11:40:00,-16675189.786786066,20094950.549149647,-1845678.977444089
G21,2021-12-14 11:56:40,-16987994.20835461,19978140.66079213,1321132.4594282527
G21,2021-12-14 12:13:20,-17069608.114284627,19561506.733696893,4469604.744929005
G21,2021-12-14 12:30:00,-16964971.473753817,18821314.51443188,7532855.805868013
G21,2021-12-14 12:46:40,-16724569.434777122,17746021.31526253,10445816.902734214
G21,2021-12-14 13:03:20,-16401782.164693855,16337074.325564893,13146616.316493638
G21,2021-12-14 13:20:00,-16050115.757022548,14609104.96316788,15577894.128857272
G21,2021-12-14 13:36:40,-15720447.673455378,12589508.925359072,17688020.081153132
G21,2021-12-14 13:53:20,-15458419.267340995,10317430.850364605,19432188.76214248
G21,2021-12-14 14:10:00,-15302100.667809065,7842200.772547371,20773369.151285328
G21,2021-12-14 14:26:40,-15280040.077048523,5221295.515155375,21683088.745236512
G21,2021-12-14 14:43:20,-15409791.007537236,2517920.6048666984,22142036.04110427
G21,2021-12-14 15:00:00,-15696988.059381539,-201673.82117316453,22140468.966331486
G21,2021-12-14 15:16:40,-16135015.601994066,-2871017.130891605,21678420.863845073
G21,2021-12-14 15:33:20,-16705285.414513405,-5426249.779012216,20765699.797715332
G21,2021-12-14 15:50:00,-17378110.280876137,-7808829.469794074,19421681.175105393
G21,2021-12-14 16:06:40,-18114132.086343728,-9967984.945990406,17674897.919403657
G21,2021-12-14 16:23:20,-18866236.45477789,-11862802.36967301,15562436.608713161
G21,2021-12-14 16:40:00,-19581862.647922806,-13463846.626094421,13129152.041185068
G21,2021-12-14 16:56:40,-20205598.42665379,-14754241.892736737,10426716.528252399
G21,2021-12-14 17:13:20,-20681935.764562983,-15730161.45080231,7512523.76991859
G21,2021-12-14 17:30:00,-20958055.384261757,-16400704.776174638,4448470.3524625385
G21,2021-12-14 17:46:40,-20986506.461571142,-16787169.106632173,1299640.6479262465
G21,2021-12-14 18:03:20,-20727652.620377276,-16921751.55231605,-1867076.8911341305
G21,2021-12-14 18:20:00,-20151766.320810124,-16845745.008406423,-4984412.430638032
G21,2021-12-14 18:36:40,-19240670.419659805,-16607315.32271833,-7986145.8771735225
G21,2021-12-14 18:53:20,-17988847.262141146,-16258967.182814863,-10808515.597093398
G21,2021-12-14 19:10:00,-16403961.104534483,-15854821.032709371,-13391574.378779896
G21,2021-12-14 19:26:40,-14506767.72379665,-15447832.277344465,-15680463.483251784
G21,2021-12-14 19:43:20,-12330414.363530114,-15087086.647978488,-17626577.521293268
G21,2021-12-14 20:00:00,-9919162.256252235,-14815301.767402578,-19188595.419248655
G21,2021-12-14 20:16:40,-7326591.430449821,-14666654.879436448,-20333355.799869616
G21,2021-12-14 20:33:20,-4613372.036602328,-14665040.910498159,-21036558.59890502
G21,2021-12-14 20:50:00,-1844706.8559925635,-14822844.304746654,-21283278.544369575
G21,2021-12-14 21:06:40,912434.9421639596,-15140283.435733516,-21068280.13101395
G21,2021-12-14 21:23:20,3592163.031305388,-15605359.030360216,-20396127.83224866
G21,2021-12-14 21:40:00,6132456.789192341,-16194409.234442135,-19281089.43503336
G21,2021-12-14 21:56:40,8477771.075300716,-16873245.04009355,-17746834.513925895
G21,2021-12-14 22:13:20,10581334.945562627,-17598812.115069743,-15825934.149228696
G21,2021-12-14 22:30:00,12407035.765779205,-18321299.901409306,-13559172.014860293
G21,2021-12-14 22:46:40,13930800.692356955,-18986597.36363976,-10994680.876214437
G21,2021-12-14 23:03:20,15141411.201173846,-19538977.99613686,-8186922.285144405
G21,2021-12-14 23:20:00,16040713.19275415,-19923885.477700423,-5195530.748592044
G21,2021-12-14 23:36:40,16643213.941079728,-20090686.2739461,-2084046.766427326
G15,2021-12-14 00:00:00,-7691681.364093683,16688189.43470139,18663371.979422625
G15,2021-12-14 00:16:40,-8964144.21907471,14519123.61591589,19877372.243078172
G15,2021-12-14 00:33:20,-10411487.26471726,12311705.950056296,20663763.78560033
G15,2021-12-14 00:50:00,-12012294.874146389,10125040.172695264,21005854.93811644
G15,2021-12-14 01:06:40,-13734381.414310396,8014008.243846014,20896384.87939957
G15,2021-12-14 01:23:20,-15536090.29530954,6026917.69337356,20337677.09891524
G15,2021-12-14 01:40:00,-17368063.89358891,4203478.068059154,19341590.362339262
G15,2021-12-14 01:56:40,-19175401.37060187,2573201.183417253,17929268.14542956
G15,2021-12-14 02:13:20,-20900102.83509061,1154299.7292654905,16130691.591881204
G15,2021-12-14 02:30:00,-22483684.482670095,-46864.89204742573,13984045.091972953
G15,2021-12-14 02:46:40,-23869840.960839644,-1035760.7159067588,11534907.509939613
G15,2021-12-14 03:03:20,-25007028.679846514,-1829091.8967404952,8835285.831437726
G15,2021-12-14 03:20:00,-25850847.279384065,-2453663.7230181983,5942511.466168156
G15,2021-12-14 03:36:40,-26366105.839712244,-2944761.6678332784,2918022.5242889225
G15,2021-12-14 03:53:20,-26528475.274176758,-3344123.462653271,-173942.01129137113
G15,2021-12-14 04:10:00,-26325647.961651053,-3697602.7140713674,-3267708.261334699
G15,2021-12-14 04:26:40,-25757949.129689693,-4052637.398211598,-6297564.228417414
G15,2021-12-14 04:43:20,-24838370.641705774,-4455645.931265887,-9199157.327075964
G15,2021-12-14 05:00:00,-23592025.396395497,-4949476.965630809,-11910862.622043824
G15,2021-12-14 05:16:40,-22055048.16835958,-5571036.434017535,-14375092.437350977
G15,2021-12-14 05:33:20,-20272995.06177336,-6349206.797044341,-16539519.374197574
G15,2021-12-14 05:50:00,-18298817.542907722,-7303159.374484228,-18358186.766295366
G15,2021-12-14 06:06:40,-16190507.126981076,-8441141.754348936,-19792483.139774546
G15,2021-12-14 06:23:20,-14008522.274426527,-9759799.502032347,-20811960.252943415
G15,2021-12-14 06:40:00,-11813119.186852325,-11244065.835796265,-21394977.686443783
G15,2021-12-14 06:56:40,-9661712.529820003,-12867625.81810181,-21529160.653248683
G15,2021-12-14 07:13:20,-7606390.470176823,-14593934.219596144,-21211661.619531184
G15,2021-12-14 07:30:00,-5691700.9008548185,-16377739.831082597,-20449220.395220336
G15,2021-12-14 07:46:40,-3952812.7059990037,-18167044.86049629,-19258021.495886467
G15,2021-12-14 08:03:20,-2414138.013521705,-19905407.28062164,-17663351.72926447
G15,2021-12-14 08:20:00,-1088479.4302826654,-21534477.55747243,-15699065.057505
G15,2021-12-14 08:36:40,23258.7203293927,-22996649.8614912,-13406865.768538326
G15,2021-12-14 08:53:20,931782.9753982518,-24237702.18758332,-10835424.793423327
G15,2021-12-14 09:10:00,1658562.386116297,-25209300.074782554,-8039347.563484089
G15,2021-12-14 09:26:40,2234461.272775551,-25871244.840310216,-5078015.037477809
G15,2021-12-14 09:43:20,2697919.914351198,-26193359.165971093,-2014322.3648243593
G15,2021-12-14 10:00:00,3092771.6663247654,-26156919.96280096,1086657.9978769068
G15,2021-12-14 10:16:40,3465802.455647179,-25755569.900372498,4159060.115826844
G15,2021-12-14 10:33:20,3864170.9880764596,-24995663.800989438,7137625.606231601
G15,2021-12-14 10:50:00,4332814.699804099,-23896033.066087365,9959091.679340461
G15,2021-12-14 11:06:40,4911967.153018661,-22487179.101774998,12563536.280485107
G15,2021-12-14 11:23:20,5634907.178708989,-20809933.97246781,14895651.42783054
G15,2021-12-14 11:40:00,6526048.882163895,-18913651.89359943,16905917.531842995
G15,2021-12-14 11:56:40,7599465.210945205,-16854017.43781607,18551653.791861832
G15,2021-12-14 12:13:20,8857916.96088301,-14690574.40673928,19797922.60052412
G15,2021-12-14 12:30:00,10292434.887711812,-12484092.370013056,20618269.144089222
G15,2021-12-14 12:46:40,11882476.171803592,-10293895.312770037,20995280.962378975
G15,2021-12-14 13:03:20,13596649.107497888,-8175278.356707599,20920956.033413853
