époque,X,Y,Z,delta_horloge_user,delta_pseudorange,,
21:12:14:0:40:0.0000000,4332024.776,537801.373,4634419.294,-11362.38065,114167.5912,,-3.78746E-06
21:12:14:0:40:30.0000000,4332197.136,537820.8061,4634816.713,-11113.64091,114028.8035,,-3.70455E-06
21:12:14:0:41:0.0000000,4332367.851,537842.3757,4635204.784,-10870.11516,113885.3376,,-3.62337E-06
21:12:14:0:41:30.0000000,4332537.065,537866.5648,4635586.368,-10629.79767,113739.7964,,-3.54327E-06
21:12:14:0:42:0.0000000,4332704.914,537892.7941,4635958.633,-10394.05389,113591.4952,,-3.46468E-06
21:12:14:0:42:30.0000000,4332871.581,537921.4319,4636323.402,-10161.89383,113440.4571,,-3.3873E-06
21:12:14:0:43:0.0000000,4320597.521,539167.6931,4633944.015,-17852.71096,111086.4645,,-5.9509E-06
21:12:14:0:43:30.0000000,4320572.482,539175.3993,4634299.822,-17724.15408,110852.9255,,-5.90805E-06
21:12:14:0:44:0.0000000,4320545.629,539183.467,4634650.746,-17598.09754,110615.1284,,-5.86603E-06
21:12:14:0:44:30.0000000,4320517.024,539193.5795,4634995.313,-17475.47305,110374.157,,-5.82516E-06
21:12:14:0:45:0.0000000,4320485.995,539204.5542,4635331.007,-17357.69783,110128.7556,,-5.7859E-06
21:12:14:0:45:30.0000000,4320453.04,539215.9264,4635661.468,-17242.80864,109878.3774,,-5.7476E-06
21:12:14:0:46:0.0000000,4320418.285,539228.4741,4635985.479,-17131.45903,109625.047,,-5.71049E-06
21:12:14:0:46:30.0000000,4320381.827,539241.6196,4636302.911,-17023.21321,109367.6267,,-5.6744E-06
21:12:14:0:47:0.0000000,4249789.292,489950.0885,4611849.923,-72564.5736,65091.91697,,-2.41882E-05
21:12:14:0:47:30.0000000,4249783.091,489732.9771,4612198.649,-72425.36016,64891.53482,,-2.41418E-05
21:12:14:0:48:0.0000000,4249779.639,489518.7515,4612545.279,-72285.25318,64688.79618,,-2.40951E-05
21:12:14:0:48:30.0000000,4249776.736,489308.5938,4612885.44,-72147.12297,64483.49448,,-2.4049E-05
21:12:14:0:49:0.0000000,4248354.286,494216.512,4603345.998,-77790.8306,68247.01642,,-2.59303E-05
21:12:14:0:49:30.0000000,4248502.959,494197.5351,4603607.212,-77624.4792,68224.89964,,-2.58748E-05
21:12:14:0:50:0.0000000,4248660.462,494186.1784,4603871.502,-77451.68716,68203.4146,,-2.58172E-05
21:12:14:0:50:30.0000000,4248830.318,494179.916,4604140.93,-77269.45304,68180.92023,,-2.57565E-05
21:12:14:0:51:0.0000000,4249008.3,494182.208,4604413.218,-77081.23211,68160.16816,,-2.56937E-05
21:12:14:0:51:30.0000000,4249197.653,494189.6879,4604691.816,-76883.44274,68137.3331,,-2.56278E-05
21:12:14:0:52:0.0000000,4249394.635,494204.6326,4604970.955,-76681.22274,68117.3416,,-2.55604E-05
21:12:14:0:52:30.0000000,4249603.12,494225.2648,4605259.034,-76467.81447,68094.05357,,-2.54893E-05
21:12:14:0:53:0.0000000,4249820.335,494253.8252,4605546.622,-76249.68443,68072.59323,,-2.54166E-05
21:12:14:0:53:30.0000000,4250047.211,494288.6906,4605838.973,-76023.8776,68049.98751,,-2.53413E-05
21:12:14:0:54:0.0000000,4318393.313,554549.7157,4647398.972,-11447.4171,127249.6231,,-3.81581E-06
21:12:14:0:54:30.0000000,4318406.5,554610.9937,4647394.486,-11413.73792,126897.5598,,-3.80458E-06
21:12:14:0:55:0.0000000,4318418.191,554671.4398,4647389.813,-11380.44717,126540.8527,,-3.79348E-06
21:12:14:0:55:30.0000000,4330650.964,561919.7752,4649978.983,-2829.698144,128079.9404,,-9.43233E-07
21:12:14:0:56:0.0000000,4318442.561,554792.6856,4647378.713,-11313.72514,125819.1312,,-3.77124E-06
21:12:14:0:56:30.0000000,4318454.574,554852.7799,4647372.883,-11280.09535,125452.6848,,-3.76003E-06
21:12:14:0:57:0.0000000,4318464.008,554912.5455,4647364.78,-11248.73781,125083.1131,,-3.74958E-06
21:12:14:0:57:30.0000000,4318476.908,554973.1059,4647356.738,-11215.08183,124711.2938,,-3.73836E-06
21:12:14:0:58:0.0000000,4318487.761,555032.8902,4647347.756,-11182.89919,124335.6701,,-3.72763E-06
21:12:14:0:58:30.0000000,4318498.387,555093.0691,4647336.787,-11151.51762,123958.1957,,-3.71717E-06
21:12:14:0:59:0.0000000,4318506.994,555152.8809,4647327.36,-11119.94438,123575.9173,,-3.70665E-06
21:12:14:0:59:30.0000000,4315224.939,553467.7521,4657621.37,-7249.79656,121105.9885,,-2.4166E-06
21:12:14:1:0:0.0000000,4315286.346,553540.3481,4657777.62,-7118.322746,120666.8962,,-2.37277E-06
21:12:14:1:0:30.0000000,4315349.004,553614.1746,4657934.031,-6986.616804,120226.1982,,-2.32887E-06
21:12:14:1:1:0.0000000,4315413.51,553689.0121,4658089.852,-6853.667418,119782.2823,,-2.28456E-06
21:12:14:1:1:30.0000000,4315477.869,553764.5503,4658245.874,-6720.812666,119334.0989,,-2.24027E-06
21:12:14:1:2:0.0000000,4315542.839,553839.8443,4658401.135,-6587.893694,118882.4393,,-2.19596E-06
21:12:14:1:2:30.0000000,4315609.727,553916.5859,4658555.573,-6454.390422,118427.2382,,-2.15146E-06
21:12:14:1:3:0.0000000,4316448.982,553885.0665,4658957.055,-5784.267191,117966.2317,,-1.92809E-06
21:12:14:1:3:30.0000000,4316620.463,553948.9784,4659147.94,-5577.102946,117504.0238,,-1.85903E-06
21:12:14:1:4:0.0000000,4316794.54,554014.3879,4659339.951,-5367.989501,117038.8231,,-1.78933E-06
21:12:14:1:4:30.0000000,4316967.383,554079.8679,4659531.042,-5160.638381,116569.7234,,-1.72021E-06
21:12:14:1:5:0.0000000,4317143.225,554146.1971,4659724.397,-4950.220595,116097.0411,,-1.65007E-06
21:12:14:1:5:30.0000000,4317318.979,554213.2288,4659917.636,-4740.115868,115621.3135,,-1.58004E-06
21:12:14:1:6:0.0000000,4317494.098,554280.7382,4660109.873,-4530.912263,115141.7478,,-1.5103E-06
21:12:14:1:6:30.0000000,4317670.376,554349.8582,4660302.802,-4320.905768,114660.5217,,-1.4403E-06
21:12:14:1:7:0.0000000,4317848.421,554418.4806,4660497.069,-4109.263923,114175.1123,,-1.36975E-06
21:12:14:1:7:30.0000000,4318025.658,554488.2044,4660690.491,-3898.436115,113686.8479,,-1.29948E-06
21:12:14:1:8:0.0000000,4318202.06,554558.7211,4660882.812,-3688.941676,113195.1194,,-1.22965E-06
21:12:14:1:8:30.0000000,4318379.122,554628.7952,4661076.945,-3478.232295,112700.1896,,-1.15941E-06
